edge_id,road_name,geometry,road_type,speed,capacity,traffic_density
1182461451___,Kensington Road,"LINESTRING (784489.120692187 1437019.6708483126, 784489.2571424099 1437077.0827027494, 784489.8616725808 1437091.1260351406, 784493.8240453579 1437182.8951339028)",secondary,40.0,3600,0.0
1182461451___,Kensington Road,"LINESTRING (784489.120692187 1437019.6708483126, 784484.7651260847 1436961.8723956195, 784484.2879043901 1436934.4021331687, 784484.2545898797 1436932.3648598287)",secondary,40.0,3600,0.0
157571649___,Gangadhar Chetty Road,"LINESTRING (784109.2844115247 1436163.9090352508, 784087.1033479028 1436207.3643434125, 784080.6265468372 1436219.6079173356, 784067.0348238398 1436244.9187797566, 784060.012429913 1436257.43350706, 784045.6559204558 1436284.2752800134)",secondary,40.0,3600,0.0
157571649___,Gangadhar Chetty Road,"LINESTRING (784045.6559204558 1436284.2752800134, 784025.6193788084 1436319.7820612683, 783995.1144110844 1436374.598521787, 783987.9413517409 1436384.875521619, 783970.5448671365 1436398.0032871307, 783936.0024052355 1436413.6118567863, 783869.9308053304 1436438.9596082994, 783825.5147075099 1436452.9724559505, 783775.8714420836 1436464.3302215764)",secondary,40.0,3600,0.0
1096797091___,Residency Road,"LINESTRING (782589.8396065913 1435360.3943872435, 782599.7324269188 1435365.4769577081, 782602.7250589104 1435366.9134219375, 782640.2893813336 1435384.9649510437, 782666.3905432393 1435397.552583034, 782721.7026939943 1435421.1877508226, 782730.4523659186 1435425.5170002952)",primary,40.0,5400,0.0
1307397842___,Museum Road,"LINESTRING (782589.8396065913 1435360.3943872435, 782586.0650819023 1435369.6104526054, 782558.8287399405 1435435.2326740227, 782557.6933339245 1435437.9775364776, 782552.9513393529 1435449.4420249923, 782550.7176221043 1435455.5520545614, 782549.165192439 1435459.7981930512)",secondary,40.0,3600,0.0
763290547___,Residency Road,"LINESTRING (782730.4523659186 1435425.5170002952, 782738.9997386995 1435429.4567319606, 782781.7072791947 1435450.9595677038, 782803.9326946068 1435461.4044250294, 782813.4093259011 1435465.774345893, 782815.9498538468 1435466.8298327494, 782831.5508944622 1435476.3878243945)",primary,40.0,7200,0.0
"[764406992, 23029716]___",Unknown,"LINESTRING (782730.4523659186 1435425.5170002952, 782757.3363262792 1435428.4263767872, 782800.433957529 1435426.6306186756, 782806.1316507997 1435425.7700269807, 782812.2141574789 1435423.3746218043, 782817.4382946494 1435418.92247188, 782827.4150487157 1435407.2901038444)",primary_link,50.0,7200,0.0
171887405___,Richmond Road,"LINESTRING (782609.0783314586 1434808.4582668648, 782580.8402818781 1434803.0667071673)",primary,40.0,5400,0.0
171887405___,Richmond Road,"LINESTRING (782580.8402818781 1434803.0667071673, 782556.1477814119 1434799.1947578143, 782535.3573684089 1434795.94936895, 782532.701206744 1434795.579088946, 782525.5028034907 1434794.5425298037, 782516.060079766 1434793.2063176278, 782501.712694382 1434791.6097288062, 782494.8827089985 1434790.643357994)",primary,40.0,5400,0.0
164042287___,Langford Road,"LINESTRING (782581.5443618979 1433999.9161808032, 782623.8274278559 1433981.3291230635, 782660.5541087117 1433967.8219482824)",tertiary,30.0,3600,0.0
164042287___,Langford Road,"LINESTRING (782660.5541087117 1433967.8219482824, 782676.0519051205 1433960.9948549645, 782720.7348732157 1433941.3143287061, 782725.0537787983 1433939.4100682826, 782734.5505813695 1433935.4774748706)",tertiary,30.0,3600,0.0
164042287___,Langford Road,"LINESTRING (782288.4600399588 1434143.1635609197, 782295.3252455285 1434139.624686216, 782328.5160198802 1434129.9888456734)",tertiary,30.0,3600,0.0
164042287___,Langford Road,"LINESTRING (782328.5160198802 1434129.9888456734, 782348.3834000069 1434123.7153668064)",tertiary,30.0,3600,0.0
"[1251638988, 164042284]___",Berlie Street,"LINESTRING (782319.0185576763 1433969.9516225636, 782245.8320308167 1433995.342266164, 782265.1888313117 1434055.1628896166)",tertiary,30.0,3600,0.0
164042284___,Berlie Street,"LINESTRING (782265.1888313117 1434055.1628896166, 782284.5457550499 1434128.8100661829, 782286.5839365819 1434136.5577479429, 782288.4600399588 1434143.1635609197)",tertiary,30.0,3600,0.0
1082927840___,Hosur Road,"LINESTRING (782676.2772365442 1433588.8093262003, 782677.7091461044 1433597.4475406664, 782682.7208745796 1433627.6757591718, 782705.4624982225 1433753.686274404)",primary,30.0,7200,0.0
"[1509732601, 1509734442, 1386556899]___",Hosur Road,"LINESTRING (782705.4624982225 1433753.686274404, 782716.3332581657 1433818.3359019035, 782720.2647256732 1433843.7597699903, 782726.4973368684 1433878.8159756823, 782729.9983142267 1433898.5454223822, 782733.2125602941 1433924.0283994344, 782734.5505813695 1433935.4774748706)",primary,30.0,7200,0.0
124316745___,Residency Road,"LINESTRING (783094.9142141072 1435617.3028150883, 783106.6502711414 1435622.603726895, 783127.245688614 1435632.113396477, 783138.9971217819 1435636.971675768, 783147.5403316491 1435640.247307146, 783159.7613966707 1435643.7709140002, 783166.9866913948 1435646.4020656853, 783168.0034817222 1435646.7667169624, 783179.0134666574 1435650.875727122)",primary,30.0,5400,0.0
"[327639080, 635340513]___",Commissariat Road,"LINESTRING (783179.0134666574 1435650.875727122, 783196.3537942749 1435648.5292130075, 783208.6468979386 1435651.3783010603, 783216.1539996691 1435652.9938967822, 783222.2755646589 1435654.207856038, 783222.9798114704 1435654.3479069837, 783228.2667502511 1435655.431552258, 783232.4268937969 1435655.2305952124, 783240.6326664048 1435653.2887581598, 783251.1639641062 1435647.9500505272)",primary_link,30.0,3600,0.0
"[691218619, 763405053, 498553630]___",Residency Road,"LINESTRING (783179.0134666574 1435650.875727122, 783212.6606523399 1435665.4784886916, 783229.5654238535 1435672.8028588844, 783248.9887020716 1435683.330161395, 783259.6080660789 1435693.7784137807, 783268.9611126732 1435707.0255284777, 783270.1550993954 1435721.8939142895, 783269.8375774254 1435731.6988293044, 783269.6711831987 1435734.165772395, 783268.3070434019 1435747.579915211)",primary,30.0,3600,0.0
747173771___,Unknown,"LINESTRING (782734.5505813695 1433935.4774748706, 782745.0221788476 1433931.7762356033)",tertiary,30.0,3600,0.0
"[1509734445, 764329020, 1509732605, 1509732599]___",Hosur Road,"LINESTRING (782734.5505813695 1433935.4774748706, 782747.471979769 1434021.5133900708, 782751.4376139503 1434046.771575354, 782754.1950900031 1434063.8144797792, 782760.2203985613 1434101.0826235004, 782760.5981296735 1434119.385370676, 782780.7163044518 1434237.4431650853, 782796.8907679725 1434330.2098167113, 782803.7592554484 1434366.7559836502, 782809.0789645099 1434411.4339456991, 782810.2678437469 1434454.4866995185, 782806.5426979798 1434530.0796921123, 782805.7600166168 1434555.6879490395, 782804.0131795987 1434575.7734404735)",primary,30.0,3600,0.0
1148452207___,Kengeri Main Road,"LINESTRING (772033.5693501739 1435351.90171906, 772042.9364844683 1435365.2990591454, 772049.290935501 1435375.954815984)",primary,50.0,7200,0.0
8685976___,Mallathahalli Road,"LINESTRING (771691.5801239999 1434101.7590714337, 771698.4558307289 1434101.3837488226)",secondary,40.0,5400,0.0
1413439959___,Kengeri Main Road,"LINESTRING (771691.5801239999 1434101.7590714337, 771698.9728139429 1434127.2576027904, 771702.301651573 1434138.73583867)",primary,50.0,7200,0.0
461556490___,Kengeri Main Road,"LINESTRING (771698.4558307289 1434101.3837488226, 771694.6476125515 1434092.2917653702)",primary,40.0,7200,0.0
461556494___,Mallathahalli Road,"LINESTRING (771698.4558307289 1434101.3837488226, 771722.2260987347 1434096.3590501472, 771759.2884229014 1434087.6126912313, 771788.2178660091 1434088.9813353843, 771841.3165909171 1434096.6642224602)",secondary,40.0,5400,0.0
1413439959___,Kengeri Main Road,"LINESTRING (771702.301651573 1434138.73583867, 771719.648751816 1434200.8272829494, 771730.4632870739 1434244.9114369636)",primary,50.0,7200,0.0
1412647487___,Kengeri Main Road,"LINESTRING (771753.0261286699 1434344.1139012713, 771758.6986355279 1434373.4144817635, 771762.2836441965 1434391.9684920534)",primary,50.0,7200,0.0
1412647487___,Kengeri Main Road,"LINESTRING (771762.2836441965 1434391.9684920534, 771768.0076059528 1434432.6155498547, 771763.8457440936 1434466.2030386385, 771745.7979320403 1434535.286109522)",primary,50.0,7200,0.0
655812073___,Unknown,"LINESTRING (771745.7979320403 1434535.286109522, 771754.3238244234 1434536.0007327206)",primary_link,50.0,7200,0.0
1412647487___,Kengeri Main Road,"LINESTRING (771745.7979320403 1434535.286109522, 771744.2596730434 1434549.3289395433)",primary,50.0,7200,0.0
655812073___,Unknown,"LINESTRING (771754.3238244234 1434536.0007327206, 771745.7979320403 1434535.286109522)",primary_link,50.0,7200,0.0
1165647533___,Kengeri Main Road,"LINESTRING (771754.3238244234 1434536.0007327206, 771756.2243940027 1434527.0754445384, 771760.2867167317 1434508.0540925597, 771767.9512975718 1434474.855197516, 771772.157066096 1434450.0681812658, 771772.7550913851 1434432.2747205524, 771770.8916853658 1434403.1222061645, 771768.7730618282 1434391.1245018488)",primary,50.0,7200,0.0
1412647487___,Kengeri Main Road,"LINESTRING (771744.2596730434 1434549.3289395433, 771741.327863399 1434591.4296697152, 771740.3344810206 1434611.8980029942)",primary,50.0,7200,0.0
1148452207___,Kengeri Main Road,"LINESTRING (771952.1394192481 1435223.8048985195, 771982.0969573036 1435277.2981512218)",primary,50.0,7200,0.0
1148452207___,Kengeri Main Road,"LINESTRING (771982.0969573036 1435277.2981512218, 771984.9882414911 1435282.4516339325, 772033.5693501739 1435351.90171906)",primary,50.0,7200,0.0
1148452207___,Kengeri Main Road,"LINESTRING (772194.028170462 1435629.0049403568, 772201.8975423264 1435647.866928173, 772205.9603206675 1435658.6219629673, 772230.8651552387 1435724.629610799, 772234.5559794502 1435736.7757242522)",primary,50.0,7200,0.0
1148452207___,Kengeri Main Road,"LINESTRING (772234.5559794502 1435736.7757242522, 772263.0034959253 1435817.8282459993, 772274.70325055 1435851.184464342, 772305.5884819218 1435959.1594517636, 772323.2834783453 1436051.7401022506)",primary,50.0,7200,0.0
113384290___,Annapoorneshwarinagar Main Road,"LINESTRING (772364.4683960255 1436238.1430127516, 772307.9673923866 1436252.2866304806)",tertiary,30.0,3600,0.0
1148452207___,Kengeri Main Road,"LINESTRING (772364.4683960255 1436238.1430127516, 772388.9717794401 1436323.8504066702, 772391.347353244 1436379.1317507916, 772393.8906196812 1436492.3182640949)",primary,50.0,7200,0.0
113384290___,Annapoorneshwarinagar Main Road,"LINESTRING (772307.9673923866 1436252.2866304806, 772364.4683960255 1436238.1430127516)",tertiary,30.0,3600,0.0
113384290___,Annapoorneshwarinagar Main Road,"LINESTRING (772307.9673923866 1436252.2866304806, 772275.1959424128 1436262.081288937)",tertiary,30.0,3600,0.0
1148452207___,Kengeri Main Road,"LINESTRING (772393.8906196812 1436492.3182640949, 772394.3552522131 1436548.7320013, 772391.3924207548 1436566.2919317859, 772387.4761060425 1436584.772289706, 772375.9952143311 1436615.2104524106, 772368.129688195 1436657.7165624578, 772362.9536679185 1436682.8592971172, 772361.2779447217 1436690.978723958, 772360.1578336111 1436718.7294939435)",primary,50.0,7200,0.0
487384108___,Mallathahalli Road,"LINESTRING (771694.6476125515 1434092.2917653702, 771689.191765349 1434095.1162465247)",secondary,40.0,5400,0.0
503403378___,Kengeri Main Road,"LINESTRING (771694.6476125515 1434092.2917653702, 771691.5841672112 1434084.7457109387, 771688.6273210438 1434075.1861038057, 771678.4620633204 1434042.3657672466, 771676.7410740271 1434037.412013189, 771648.8703614273 1433956.864667893, 771639.2397325917 1433932.6171857566, 771599.1380891408 1433831.682274336, 771594.8811231098 1433819.6304398868, 771590.5357952246 1433808.8396312408, 771577.1925765716 1433775.6893571129)",primary,40.0,7200,0.0
461556494___,Mallathahalli Road,"LINESTRING (771841.3165909171 1434096.6642224602, 771879.820854743 1434104.7131378693, 771891.3184982531 1434106.8406038894)",secondary,40.0,5400,0.0
1165647533___,Kengeri Main Road,"LINESTRING (771770.1528399541 1434771.4880656267, 771768.353583484 1434764.5631984496)",primary,50.0,7200,0.0
1412647486___,Unknown,"LINESTRING (771768.353583484 1434764.5631984496, 771759.4616850221 1434769.069643903)",secondary,40.0,5400,0.0
1165647533___,Kengeri Main Road,"LINESTRING (771768.353583484 1434764.5631984496, 771759.0134381528 1434725.1535819331, 771757.0062282933 1434713.9760888761, 771751.406933367 1434682.7612286983, 771748.6001036642 1434633.597343778, 771751.5017383902 1434549.2229087357, 771754.3238244234 1434536.0007327206)",primary,50.0,7200,0.0
1513325897___,Unknown,"LINESTRING (772548.2677955478 1434450.9329657066, 772586.0434879637 1434455.743592582)",tertiary,30.0,3600,0.0
"[1513325898, 192051398]___",Unknown,"LINESTRING (772548.2677955478 1434450.9329657066, 772546.9636849137 1434635.2571274526, 772547.971013041 1434703.8634821174, 772555.8441797115 1434889.9605683284, 772566.1517059242 1435058.1161985702)",tertiary,30.0,3600,0.0
1274858336___,Unknown,"LINESTRING (772392.6648240981 1434181.7244674377, 772391.7733819159 1434174.1221729636)",tertiary,30.0,3600,0.0
461556501___,Mallathahalli Road,"LINESTRING (772392.6648240981 1434181.7244674377, 772401.6716376485 1434182.1229917966, 772454.7525379267 1434182.777947953, 772483.314890857 1434176.218120336, 772513.041643121 1434168.275045735, 772561.6795829406 1434151.5630398763)",secondary,40.0,5400,0.0
1274858336___,Unknown,"LINESTRING (772391.7733819159 1434174.1221729636, 772392.6648240981 1434181.7244674377)",tertiary,30.0,3600,0.0
461556501___,Mallathahalli Road,"LINESTRING (772561.6795829406 1434151.5630398763, 772572.579157911 1434148.272030948, 772578.5726178549 1434147.091254258, 772583.8591402133 1434147.1432824282, 772598.2660550456 1434150.395548115)",secondary,40.0,5400,0.0
487384112___,Unknown,"LINESTRING (772561.6795829406 1434151.5630398763, 772565.7545606045 1434151.1714394907, 772568.1205758177 1434151.2390010443, 772570.9485753407 1434151.7981583262, 772572.9382129707 1434152.6036590445, 772575.3357761453 1434153.8780849394, 772577.64007009 1434155.8046816215, 772579.2046798198 1434157.8789689688, 772580.624467063 1434160.3281872165, 772581.5484682197 1434163.5141690106, 772581.6179524941 1434166.381800579, 772581.2194616925 1434169.366588685, 772579.8992863845 1434174.4454720102)",secondary_link,40.0,5400,0.0
763175325___,Lalbagh Road,"LINESTRING (780866.2933458365 1434307.8841653825, 780843.3964016831 1434284.2943569783, 780830.5135871009 1434271.0126147033)",secondary,40.0,5400,0.0
763175325___,Lalbagh Road,"LINESTRING (780830.5135871009 1434271.0126147033, 780820.3262549236 1434261.7212552696, 780815.3647236091 1434256.3573703174, 780810.5213702015 1434251.1164543652)",secondary,40.0,5400,0.0
486731320___,Kengeri Main Road,"LINESTRING (770699.1405348026 1432322.7724210876, 770680.7735253505 1432286.884128562, 770679.4899409084 1432284.9123644861, 770668.8798110894 1432268.5261208)",primary,40.0,7200,0.0
113391338___,1st Main Road,"LINESTRING (770668.8798110894 1432268.5261208, 770659.5444588154 1432271.7004077116)",tertiary,30.0,3600,0.0
289095167___,Kengeri Main Road,"LINESTRING (770668.8798110894 1432268.5261208, 770649.826260005 1432236.228631641, 770638.4405596761 1432213.6471964177)",primary,40.0,7200,0.0
289095167___,Kengeri Main Road,"LINESTRING (770481.9342067183 1431747.4944065849, 770475.6423761949 1431702.4039241702)",primary,40.0,7200,0.0
289095167___,Kengeri Main Road,"LINESTRING (770475.6423761949 1431702.4039241702, 770470.5508986581 1431657.8011214768, 770454.9137714537 1431528.8817578321, 770451.9142238607 1431508.0204625323)",primary,40.0,7200,0.0
489040257___,Unknown,"LINESTRING (769969.3015933016 1431011.3673333677, 769961.6146895938 1431018.0557747665)",secondary,40.0,5400,0.0
489040259___,Unknown,"LINESTRING (769961.6146895938 1431018.0557747665, 769942.7515174713 1431038.5604131944)",secondary,40.0,5400,0.0
1150344679___,Kengeri Main Road,"LINESTRING (769961.6146895938 1431018.0557747665, 769970.6528492626 1431025.371774142)",primary,50.0,7200,0.0
154340361___,Kasturba Road,"LINESTRING (780796.5058269396 1434996.1372746625, 780810.5501141248 1434996.5564940253)",primary,50.0,5400,0.0
26179365___,Hudson Circle,"LINESTRING (780796.5058269396 1434996.1372746625, 780810.9867521684 1434978.1294420934, 780813.2866270108 1434969.7396045052, 780814.5581459043 1434964.2618038484, 780814.8071834862 1434960.0466758655, 780815.2810406978 1434952.9334993314, 780814.6537318844 1434947.3478763762)",primary,50.0,9000,0.0
52033011___,Devanga Hostel Road,"LINESTRING (780810.5501141248 1434996.5564940253, 780828.6696908141 1434991.2274759756, 780838.3458168 1434984.5286881702, 780844.1480438124 1434978.7094059463, 780847.3373362205 1434975.7528740892, 780851.342670974 1434967.2696409794)",secondary,40.0,5400,0.0
154340361___,Kasturba Road,"LINESTRING (780810.5501141248 1434996.5564940253, 780824.3337577912 1435000.1944346775, 780836.721224266 1435005.545131722)",primary,50.0,5400,0.0
148016866___,Hudson Circle,"LINESTRING (780814.6537318844 1434947.3478763762, 780806.3382315896 1434937.6437282083, 780801.4425417832 1434932.2251371262, 780788.2697491696 1434919.7374463552, 780766.3400772064 1434896.1020628836, 780763.5516375505 1434892.719585727)",primary,50.0,7200,0.0
1510508850___,Tumkur Road,"LINESTRING (773157.1739245299 1442882.5128622425, 773135.2405199136 1442897.7813004693)",trunk,60.0,3600,0.0
1274874641___,Unknown,"LINESTRING (773157.1739245299 1442882.5128622425, 773143.608321518 1442875.891555953, 773131.6271550597 1442865.9983651906)",trunk_link,70.0,7200,0.0
1274893945___,Peenya Inner Ring Road,"LINESTRING (773135.2405199136 1442897.7813004693, 773131.6271550597 1442865.9983651906)",secondary,40.0,3600,0.0
1392654641___,Tumkur Road,"LINESTRING (773135.2405199136 1442897.7813004693, 773130.1973823067 1442901.8047973863)",trunk,60.0,3600,0.0
1274893945___,Peenya Inner Ring Road,"LINESTRING (773131.6271550597 1442865.9983651906, 773125.4362061471 1442798.6681116899, 773122.3340923053 1442752.5443006295, 773129.7688967787 1442591.7020420742, 773132.1440037889 1442520.77068615, 773132.3127952957 1442509.2269660458)",secondary,40.0,3600,0.0
360675529___,Vittal Mallya Road,"LINESTRING (781523.2088742005 1434953.5817342612, 781512.7428425571 1434939.715267468, 781506.526655677 1434932.8439933541, 781499.8785285365 1434928.9461626927, 781494.0691983035 1434926.9055557994, 781486.2944223528 1434927.03682721)",primary_link,50.0,7200,0.0
224618934___,Rajaram Mohan Roy Road,"LINESTRING (781486.2944223528 1434927.03682721, 781443.7120262563 1434969.9650892883, 781437.2438007442 1434975.0690202338, 781410.7631955596 1434990.1206927667, 781393.3360443012 1434997.8032341048, 781380.6424592754 1435002.2793204775, 781369.7264428801 1435005.976440231, 781307.7664155022 1435019.9369532801, 781299.8446494641 1435021.7162074025, 781290.2035404295 1435023.8875812725, 781284.0771108367 1435025.2754940544, 781271.0843875161 1435028.209855133, 781255.7321247358 1435030.4339068038, 781212.6329130594 1435036.660147237, 781190.2706648835 1435038.547336826, 781186.0714699535 1435038.3164892544, 781127.4196813554 1435031.222657526, 781093.4517328528 1435020.2726466556, 781082.8577355074 1435016.8551422656, 781078.028401459 1435015.5994748597, 781059.9128180684 1435009.8362581846, 781040.6560453714 1435004.1943081138)",primary,50.0,7200,0.0
"[26283603, 1109911788]___",Kasturba Road,"LINESTRING (781416.3991351549 1435492.878213761, 781422.755018796 1435498.8099612955, 781439.4966345562 1435521.1424034722)",secondary,40.0,3600,0.0
"[1205171802, 1312434983]___",Kasturba Road,"LINESTRING (781439.4966345562 1435521.1424034722, 781495.6217701593 1435590.8123772833, 781526.787704618 1435630.5940962948, 781546.4331453264 1435649.203447616, 781562.4577746196 1435663.026929499, 781585.1249394929 1435682.3423414372, 781605.9551150848 1435700.8088285502, 781630.1270944555 1435721.6008513537, 781679.3761452746 1435763.8473305663, 781692.924772174 1435775.5977492614, 781720.4053098762 1435798.7704157326, 781731.4868281079 1435807.58431645, 781751.1690659845 1435821.4894754253, 781795.9350397906 1435854.0485686788, 781838.5482682493 1435885.844130204, 781855.3525972506 1435898.768040722, 781871.2538651881 1435910.819298772, 781923.6507788184 1435950.9176358809, 781952.4671127789 1435976.1411151437, 781956.657903403 1435980.3793850206, 781959.6290201733 1435982.8561536954)",secondary,40.0,3600,0.0
355938968___,Queen's Road,"LINESTRING (781989.1743763464 1435996.1978688214, 781991.2123677125 1435986.908722192)",secondary,40.0,5400,0.0
"[1368125926, 1106110231]___",Mahatma Gandhi Road,"LINESTRING (781989.1743763464 1435996.1978688214, 782007.0705205193 1435996.789909004, 782018.2121911813 1435996.4939097003, 782064.5900211271 1435995.4944763412, 782093.2571741507 1435994.8790701882)",secondary,30.0,3600,0.0
1109912029___,Kasturba Road,"LINESTRING (781991.2123677125 1435986.908722192, 781977.9752901323 1435981.8918827947)",secondary,40.0,3600,0.0
"[1373661996, 46728567]___",Lavelle Road,"LINESTRING (781991.2123677125 1435986.908722192, 781992.3048465105 1435968.1339626247, 781998.2178782334 1435955.7182816754, 782001.5295054885 1435949.2871252254, 782014.3587403415 1435927.2224378004, 782032.2353505156 1435898.8549943042, 782042.3412018486 1435883.028203208, 782049.5044768869 1435872.5736043518)",tertiary,30.0,3600,0.0
"[915684608, 1368125926]___",Mahatma Gandhi Road,"LINESTRING (782093.2571741507 1435994.8790701882, 782154.6969395122 1435993.4798916918, 782235.9696545221 1435991.1872655218, 782243.7207746328 1435991.2220737492, 782256.0014953217 1435992.078010119)",secondary,30.0,3600,0.0
164042287___,Langford Road,"LINESTRING (782515.2969656256 1434060.269858492, 782537.9423104284 1434043.5082434257, 782575.4784576161 1434010.2380498822)",tertiary,30.0,3600,0.0
1148478712___,Bannerghatta Road,"LINESTRING (782651.8134005289 1433342.0619561083, 782661.4994086287 1433341.9504123998)",secondary,40.0,5400,0.0
"[28842920, 1369547325]___",Bannerghatta Road,"LINESTRING (782651.8134005289 1433342.0619561083, 782637.5857694675 1433339.293241855, 782636.1820074271 1433338.537229617, 782625.8567306986 1433333.1957778598, 782617.2257388848 1433328.8679164476, 782581.7204791941 1433310.893362615, 782575.1880473304 1433307.3286102014, 782552.1139537543 1433294.7391438822, 782543.9797817133 1433287.4717325415, 782497.0720661674 1433198.322220275)",secondary,40.0,3600,0.0
"[1082927840, 1509734438]___",Hosur Road,"LINESTRING (782651.8134005289 1433342.0619561083, 782652.2973807249 1433365.9340156068, 782652.3921140457 1433370.4847906334, 782655.8350216722 1433408.700662912, 782661.1015369385 1433467.182344871, 782671.4822064624 1433554.3656159986, 782672.3118004001 1433561.381450677, 782673.75176382 1433571.3592282285, 782676.2772365442 1433588.8093262003)",primary,30.0,7200,0.0
1148478712___,Bannerghatta Road,"LINESTRING (782661.4994086287 1433341.9504123998, 782651.8134005289 1433342.0619561083)",secondary,40.0,5400,0.0
"[1509734440, 1509732602]___",Hosur Road,"LINESTRING (782661.4994086287 1433341.9504123998, 782660.6110731435 1433326.8528127726, 782660.5484000314 1433325.5459023782, 782659.8164722065 1433311.0808937668, 782657.3547220499 1433269.277251016, 782656.9887247721 1433260.4506534738)",primary,30.0,3600,0.0
"[28842920, 1369547325]___",Bannerghatta Road,"LINESTRING (782497.0720661674 1433198.322220275, 782543.9797817133 1433287.4717325415, 782552.1139537543 1433294.7391438822, 782575.1880473304 1433307.3286102014, 782581.7204791941 1433310.893362615, 782617.2257388848 1433328.8679164476, 782625.8567306986 1433333.1957778598, 782636.1820074271 1433338.537229617, 782637.5857694675 1433339.293241855, 782651.8134005289 1433342.0619561083)",secondary,40.0,3600,0.0
164042287___,Langford Road,"LINESTRING (782575.4784576161 1434010.2380498822, 782581.5443618979 1433999.9161808032)",tertiary,30.0,3600,0.0
207470470___,Doctor M H Marigowda Road,"LINESTRING (781991.3079685337 1431705.5698679036, 781973.1939008406 1431722.94283954, 781954.5097842634 1431740.8524569154, 781941.147208174 1431757.5873847064, 781933.7195339918 1431768.3494603818, 781914.7642643882 1431800.1270748624, 781882.7305733138 1431853.8122211795, 781850.1144937054 1431908.1888756554, 781844.9916567558 1431924.0112346113, 781844.0080391869 1431928.9163290292, 781840.9782147522 1431944.9924219004, 781818.7877843814 1432125.2968011901, 781812.1834463428 1432193.963431531, 781802.2332828997 1432265.9945603972, 781798.9435559318 1432287.3484064585, 781786.7807554622 1432350.6006675183, 781786.4371734742 1432352.3573090455, 781785.5660685839 1432356.8760945825, 781775.9032634322 1432408.1095771478, 781763.4395323237 1432462.5138333975, 781760.0754193815 1432471.9555851154)",primary,50.0,3600,0.0
"[1414820181, 207470470]___",Doctor M H Marigowda Road,"LINESTRING (781760.0754193815 1432471.9555851154, 781757.0216358006 1432477.5702649707, 781742.4029624413 1432495.0784097235, 781720.7751731 1432515.3049933675, 781716.1274438361 1432519.6415006996, 781697.6857500444 1432531.918986365, 781658.9339940913 1432553.3554051223, 781627.3929154894 1432573.6141886422, 781611.3382694393 1432583.9233601335)",primary,50.0,3600,0.0
1050178232___,10th Cross Road,"LINESTRING (781611.3382694393 1432583.9233601335, 781614.7619134779 1432591.0650725684)",secondary,40.0,5400,0.0
